gen_updatedOn,latitude,longitude,temperature_2m,precipitation,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm,year,month,day,hour,minute,stageOfCrop_encoded,waterLevel_encoded,pstDiseaseName_encoded,districts_encoded,monthly_mean_temp,monthly_precipitation
2018-08-13 11:25:00,12.52585338,75.12522092,24.616666666666664,1.9208333333333332,25.070833333333336,0.4648333333333334,2018,8,13,11,25,3,1,2,14,24.621557971014493,0.8166968599033816
2018-08-13 11:25:00,12.52585338,75.12522092,24.616666666666664,1.9208333333333332,25.070833333333336,0.4648333333333334,2018,8,13,11,25,3,1,10,14,24.621557971014493,0.8166968599033816
2018-08-13 11:33:00,10.578495,76.68062833,23.1,1.1041666666666667,24.4625,0.4975,2018,8,13,11,33,1,1,2,9,24.621557971014493,0.8166968599033816
2018-08-13 11:36:00,12.5142503,75.1197762,24.51666666666667,1.9208333333333332,24.97083333333333,0.4648333333333334,2018,8,13,11,36,3,1,2,14,24.621557971014493,0.8166968599033816
2018-08-13 11:59:00,11.38759833,75.82521,24.075,1.4624999999999997,24.73333333333333,0.4988333333333333,2018,8,13,11,59,1,1,2,11,24.621557971014493,0.8166968599033816
2018-08-13 12:04:00,11.38816167,75.82549667,24.075,1.4624999999999997,24.73333333333333,0.4988333333333333,2018,8,13,12,4,8,1,1,11,24.621557971014493,0.8166968599033816
2018-08-13 12:04:00,8.635035,77.01374833,24.46666666666667,0.3125,25.45416666666667,0.451875,2018,8,13,12,4,6,2,1,1,24.621557971014493,0.8166968599033816
2018-08-13 12:05:00,11.874762,75.64001561,23.558333333333334,1.5916666666666668,24.087499999999995,0.4956666666666667,2018,8,13,12,5,1,1,2,13,24.621557971014493,0.8166968599033816
2018-08-13 12:05:00,11.874762,75.64001561,23.558333333333334,1.5916666666666668,24.087499999999995,0.4956666666666667,2018,8,13,12,5,1,1,10,13,24.621557971014493,0.8166968599033816
2018-08-13 12:05:00,11.874762,75.64001561,23.558333333333334,1.5916666666666668,24.087499999999995,0.4956666666666667,2018,8,13,12,5,1,1,2,13,24.621557971014493,0.8166968599033816
2018-08-13 12:07:00,11.87476215,75.64035272,23.558333333333334,1.5916666666666668,24.087499999999995,0.4956666666666667,2018,8,13,12,7,3,1,2,13,24.621557971014493,0.8166968599033816
